,English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
2582,Almost every tank has a control box. ,चाहर गोत्र एक जाट गोत्र है। ,37,28,9
2583,"""The modern life is a very busy one. ",आधुनिक लाइफस्टाइल भागदौड़ भरी है. ,37,34,3
2584,It also softens the skin. ,त्वचा में भी निखार आता है। ,26,27,-1
2585,Exposure to yoga ,योग का अनुभव ,17,13,4
2592,She didnt return home. ,"""वह फिर लौटकर भी नहीं आया। ",23,27,-4
2599,One person has been detained in the matter. ,मामले में एक व्यक्ति को गिरफ्तार किया गया ,44,42,2
2600,Around 2000 children participated in the event. ,इसमें करीब 2000 हजार बच्चों ने भाग लिया था। ,48,44,4
2612,How should a Christian wait for God? ,एक मसीही को परमेश्‍वर की बाट कैसे जोहनी चाहिए? ,37,47,-10
2640,We met Sanjay Raut. ,हम संजय राउत जी से मिले हैं। ,20,29,-9
2651,death of children clarified ,मृतक बच्चों की हुई पहचान ,28,25,3
2654,"""Theyre healthy and in good spirits. ",वो जिंदा हैं और स्वस्थ हैं। ,37,28,9
2655,This was done very quietly. ,यह काम अत्यंत कुटिलता से किया गया। ,28,35,-7
2663,So everyone thought. ,जो सब सोच रहे थे। ,21,18,3
2671,"""The first Test to be played there. ",इस स्थल पर पहला टेस्ट खेला जाएगा। ,36,34,2
2681,Show this help message ,इस मदद संदेश को दिखाएं ,23,23,0
2684,Would love it. ,यह प्यार है. ,15,13,2
2704,Wood #2 ,लकड़ी # 2 ,8,10,-2
2705,I am very thankful to them. ,मैं उनकी बहुत शुक्रगुज़ार हूं. ,28,31,-3
2709,Avoid risky investments. ,जोखिम भरे निवेशों से बचकर रहें। ,25,32,-7
2711,"Ready, get set, [SOUND]. ","तैयार, [ध्वनि], तैयार हो जाओ. ",25,30,-5
2713,OpenGL extensions ,ओपन-जीएल एक्सटेंशन्स ,18,21,-3
2715,We will take all proper steps. ,हम सभी आवश्यक कदम उठाएंगे। ,31,27,4
2716,"""He asked them, """"Don't you understand, yet?"""""" ","उस ने उन से कहा, क्या तुम अब तक नहीं समझते? ",48,44,4
2718,What does spirituality mean to you? ,तुम आध्यात्मिकता को क्या समझोंगे? ,36,34,2
2726,Ministry of Commerce & Industry ,वैज्ञानिक एवं औद्योगिक अनुसंधान विभाग ,32,38,-6
2727,"""The government stands with farmers. ",शासन-प्रशासन किसानों के साथ है। ,37,32,5
2729,"Shivin Narang, actor ",टीवी एक्टर शिविन नारंग ,21,23,-2
2732,Ghosh chooses not to talk about them ,घोष उनके बारे में बात नहीं करते हैं। ,37,37,0
2737,"So, this impasse continues. ",यह सिलसिला अनवरत जारी रहता है। ,28,31,-3
2740,This is low-level politics. ,यह एक निचले दर्जे की राजनीति है। ,28,33,-5
2744,All three images: Bettmann / CORBIS ,तीनों तसवीरें: © Bettmann / CORBIS ,36,35,1
2746,"""They are currently lodged in Meerut jail. ",इन दिनों उनकी पोस्टिंग मेरठ कैंट में है। ,43,41,2
2747,TOEFL (Test of English as a Foreign Language) ,टेस्ट ऑफ इंग्लिश एज फॉरेन लैग्वेज (टोएफल) ,46,42,4
2767,"Hemanth Kumar, ",हेमंत कुमार को… ,15,16,-1
2771,Why have you been off films. ,आपने फिल्मों से दूरी क्यों बना रखी है? ,29,39,-10
2773,Mayor inaugurates development works ,विधायक ने किया विकास कार्यों का उद्घाटन ,36,40,-4
2778,Ram is of Shabari as well as of Sugreeva. ,"राम शबरी के हैं, सुग्रीव के भी हैं। ",42,36,6
2780,"""The BJP does not have winning candidates. ",भाजपा में उम्मीदवारों की कोई कमी नहीं है। ,43,42,1
2784,Youth dies in bike-truck collision ,वैन की टक्कर से बाइक सवार युवक की मौत ,35,38,-3
2786,A similar event was held in New York as well. ,ऐसा ही एक मामला न्यूयॉर्क से सामने आया है। ,46,43,3
2798,He decided to affiance her at Niagara falls. ,उसने नियाग्रा जलप्रपात पर सगाई का फैसला किया। ,45,46,-1
2801,This story is not an isolated one. ,यह कहानी अकेले रचिता की नहीं है. ,35,33,2
2805,Risk to commence from date of D. D. / P. O. ,डी. डी./पी. ओ. की तारीख से शुरू ख़तरा ,44,38,6
2806,How was the experience working with Anil Kapoor? ,कुणाल कपूर के साथ काम करने का अनुभव कैसा रहा? ,49,46,3
2812,I love this part of the competition. ,मैं इस चैम्पियनशिप के लिए बहुत उत्सुक हूं। ,37,43,-6
2813,132 people have recovered. ,1327 लोगों की मौत हो गई है। ,27,28,-1
2815,Every person has value and importance. ,हर भारतीय का मूल्य और महत्त्व है। ,39,34,5
2821,It is offered with a 5-speed manual gearbox. ,इसमें 5 स्पीड मैन्युअल गियर बॉक्स दिया गया है। ,45,47,-2
2824,"""The police also arrested three men. ",तीन अन्य युवकों को भी पुलिस ने दबोचा ,37,37,0
2825,He is from a very poor family. ,"""वह अति गरीब परिवार से है। ",31,27,4
2840,"""They both are entangled with each other. ",ये दोनों आपस में जीजा-साला हैं। ,42,32,10
2843,He was shot in the head. ,उनकी बाजू में गोली लगी है। ,25,27,-2
2851,Rename Session ,सत्र का अंत ,15,12,3
2854,Bike rider killed in accident ,दुर्र्घटना में बाइक सवार की मौत ,30,32,-2
2863,Disconnect computer modems and power sources. ,कंप्यूटर मोडॆम और पावर सोर्सॆस काट दीजिए । ,46,43,3
2866,China going to make trade deal with US: Trump ,चीन के साथ व्यापार समझौते के करीब अमेरिका ः ट्रंप ,46,50,-4
2867,Watch the video to find out why ,देखें विडियो और जानें इसका कारण ,32,32,0
2874,He has also received several awards. ,उन्हें कई पुरस्कारों से भी नवाजा जा चुका है। ,37,45,-8
2875,"""The government should think about this. ",इस पर सरकार को विचार करना चाहिए। ,41,33,8
2876,I do not like you. ,मैं तुम्हें पसंद नहीं करती । ,19,29,-10
2878,Questions asked by MLAs has ,विधायकों ने पूछे ये सवाल ,28,25,3
2879,This is an issue of national honour. ,यह देश की प्रतिष्ठा से जुड़ा मसला है. ,37,37,0
2880,But I could do no more for them. ,पर इससे अधिक मैं उनके लिए कुछ नहीं कर सका। ,33,43,-10
2883,"""""""If I had to isolate with somebody?"" ",'क्या मुझे किसी से सगाई कर लेनी चाहिए थी? ,39,42,-3
2887,Take him to the PEOC. ,इन्हें पीऑक ले जाओ। ,22,20,2
2889,"""The reason? ",यह कमी क्यों? ,13,14,-1
2892,"""The entire society must unite for this cause ",इस कार्य के लिए पूरे समाज को एकजुट होना होगा। ,46,46,0
2897,He got 90 on his English test. ,उसे अंग्रेज़ी में नब्बे अंक मिले। ,31,34,-3
2903,A decision will be taken only after that. ,इसके बाद ही कोई एक फैसला लिया जाएगा। ,42,37,5
2905,Not tough to arrest ,'सरगना को पकड़ना आसान नहीं' ,20,28,-8
2920,Im very excited about that. ,मैं इसको लेकर बहुत उत्साहित हूं। ,28,33,-5
2921,Whats there to understand? ,इसमें समझने वाली क्या बात है। ,27,30,-3
2926,Why is there no debate on these issues? ,"""वहां ऐसे विवाद क्यों नहीं होते? ",40,33,7
2928,He changed many jobs. ,उन्होंने कई ठिकाने बदले. ,22,25,-3
2938,Its a crime. ,यह तो अपराध है. ,13,16,-3
2944,Police did not lodge an FIR. ,पुलिस ने हमारी एफआईआर नहीं लिखी. ,29,33,-4
2951,India lost to Pakistan in the semi-final. ,भारत को सेमीफाइनल में हार का सामना करना पड़ा। ,42,46,-4
2952,"Need a lift anywhere, Miss? ","आपको कहीं छोड़ दूँ, सुश्री? ",28,27,1
2954,Whats the reason for it? ,क्या वजह है इसकी? ,25,18,7
2955,"""The film is directed by Rumi Jaffery. ",फिल्म ‘चेहरा' का निर्देशन रूमी जाफरी ने किया है. ,39,49,-10
2959,Dont add fuel to the fire. Kerrin. ,आग में घी डालने का काम मत कीजिए । ” — कोमल । ,35,45,-10
2960,Counting of votes is underway in the five states. ,पांचों राज्यों में वोटों की गिनती शुरू हो गई है। ,50,49,1
2962,[ Picture on page 27] ,[ पेज 29 पर बक्स] ,22,18,4
2963,Even Bollywood celebrities joined in. ,इसमें बॉलीवुड सेलेब्स भी शामिल हुए। ,38,36,2
2984,Latin'holmia 'for the old name of Stockholm ,स्टॉकहोम का लेटिन में पुराना नाम 'होलमिया' ,44,43,1
2986,"235 vs England, 2016 ",235 रन विरुद्ध इंग्लैंड ,21,24,-3
2990,India ranks fourth. ,भारत समाचार चौथे नंबर पर है. ,20,29,-9
2993,"""The police have arrested the youth. ",पुलिस ने उक्त युवक को काबू कर लिया है। ,37,39,-2
2994,"""How Fast Is It Compared To Pi2B?""""."" ","देखना है ज़ोर कितना, बाज़ु-ए-क़ातिल में है? ",38,44,-6
3012,BCCI granted paternity leave to Virat Kohli. ,बीसीसीआई ने विराट कोहली को आराम दिया है। ,45,41,4
3015,All my stuff was inside my bag. ,मेरा सारा सामान बैग में ही था। ,32,31,1
3018,Citizen charter in Hindi ,"हिन्दी में उपलब्ध नागरिक संहिता, ",25,33,-8
3019,Please suggest some funds. ,आप कुछ फंडों की सलाह दें। ,27,26,1
3021,"""There is an airport. ","""वहाँ भी एक हवाई अड्डा है। ",22,27,-5
3034,"""The Scheme of the Competition Act ",प्रतियोगिता अधिनियम की योजना ,35,29,6
3035,It is a very serious matter. ,यह एक गंभीर स्थिति है। ,29,23,6
3042,Kalinga Institute of Industrial Technology (KIIT) ,कलिंगा औद्योगिक प्रौद्योगिकी संस्थान (केआईआईटी) ,50,48,2
3045,% s of% s -% s% s ,का% s-% s ,18,10,8
3054,"""The file could not be found. ",फ़ाइल नहीं मिल सकी. ,30,20,10
3055,I'm not sick. ,मैं रोगी नहीं हूं। ,14,19,-5
3056,Unable to initialize ,मूल्य बाइंड करने में अक्षम ,21,27,-6
3064,All survived. ,सब बच जाते हैं। ,14,16,-2
3071,"""The movie is directed by Indra Kumar. ",इस मूवी को इंद्र कुमार डायरेक्ट करेंगे। ,39,40,-1
3078,Whether the text is editable ,क्या पाठ्य संशोधनीय है ,29,23,6
3086,NSIC signs MoU with Mitutoyo South Asia ,एनएसआईसी और मितुतोयो दक्षिण एशिया के साथ साझेदारी ,40,50,-10
3096,Read our Apple iPhone 6 review. ,वीडियो में देखिए आईफोन 7 का रिव्यू: ,32,36,-4
3105,"""The man is currently lodged in jail. ",यह व्यक्ति फिलहाल जेल में बंद है। ,38,34,4
3108,Marsh made 39 off 41 balls with six fours. ,मेंडिस ने 41 गेंद में चार चौकों से 39 रन बनाए। ,43,47,-4
3128,What else can be said about it? ,इसके बारे में और क्या कहा जा सकता है. ,32,38,-6
3129,He was undergoing treatment there. ,"""वहां उसका इलाज चल रहा था। ",35,27,8
3132,mmediately once the instrument is received. ,लिखत के प्राप्त होने के तुरंत बाद ,44,34,10
3139,VNC Password VNC ,कूटशब्द ,17,8,9
3142,Data Entry Operator ,डाटा एंट्री ऑपरेटर- ,20,20,0
3145,In the Preserved Tablet. ,जो लौहे महफूज़ में लिखा हुआ है ,25,30,-5
3156,"""These were sacrifices of sincere praise. ",ये सच्चे दिल से की जानेवाली स्तुति के बलिदान थे । ,42,50,-8
3162,"NEET MDS was conducted on December 14, 2018. ",NEET MDS को 14 दिसंबर 2018 को आयोजित किया गया था। ,45,50,-5
3166,Yes sir! ,‘सो तो है साहब! ,9,16,-7
3167,"""Then, when one blast is sounded on the Trumpet, ",फिर जब सूर में एक (बार) फूँक मार दी जाएगी ,49,42,7
3180,But then that wasn't enough. ,लेकिन यह प्रयास अपर्याप्त रहे। ,29,31,-2
3182,New names ,नए नामों की सिफारिश ,10,20,-10
3186,How will that come about? ,ऐसी ज़िंदगी कैसे मुमकिन है? ,26,28,-2
3187,India have also crossed the 200-run mark. ,भारत का स्कोर 200 पार कर गया है. ,42,33,9
3190,Rs 3.56/litre cut in diesel price likely ,डीजल के दाम में 3.56 रुपये की कटौती जल्द ,41,41,0
3201,"""These have been airlifted. ",उन्हें एयरलिफ्ट किया गया है। ,28,29,-1
3214,"As long as he stays, I will be happy. ",जब तक वह रहेगा तब तक मैं ख़ुश रहूँगी । ,38,38,0
3216,Something's in the Woods 15. ,यह दुर्ग १५ एकड़ में फैला हुआ है। ,29,34,-5
3218,All these things have happened. ,इस तरह यह सब कुछ हुआ। ,32,22,10
3220,So we should go for that. ,इसलिए हमें वहां जाने की जरूरत है. ,26,34,-8
3230,Match was very exciting till the end. ,मैच अंतिम ओवर तक काफी रोमांचकारी रहा। ,38,38,0
3241,This film... ,"""वह इस फिल्म . ",13,15,-2
3243,"""They have even starred together in many films ",दोनों ने साथ में कई फिल्मों में काम किया है। ,47,45,2
3247,of life ,ज़िंदगी के साथ ,8,14,-6
3260,"""The BSP has 21 members in the Lower House. ",राज्यसभा में बसपा के 15 सदस्य हैं। ,44,35,9
3264,Nobody listens to poor. ,गरीबों की कोई सुनने बाला नहीं है। ,24,34,-10
3279,Bigg Boss Season 13 is currently on a roll. ,बिग बॉस सीजन 13 में लगातार घमासान मचा हुआ है। ,44,46,-2
3281,He ruined lives. ,उसने जीना हराम कर दिया था. ,17,27,-10
3285,Private DSA Key ,निजी DSA कुंजी ,16,15,1
3287,I've... ,मैंने इसकी . ,8,13,-5
3290,Rebellion against child marriage ,बाल विवाह के खिलाफ मुहिम ,33,25,8
3293,This is how people on Twitter reacted. ,ट्विटर पर लोगों के ऐसे रिएक्शन्स आए हैं . ,39,42,-3
3298,"""The economy is bad. ",अर्थव्यवस्था के बुरे हाल हैं. ,21,30,-9
3300,from all across the country. ,देश के सभी स्थानों के हैं. ,29,27,2
3301,"""The cause of the death hasnt been revealed yet. ",मौत के कारणों का अभी तक खुलासा नहीं हुआ है। ,49,44,5
3314,Doctors withdraw strike ,डॉक्टरों ने वापस ली हड़ताल ,24,27,-3
3316,Is that even possible. ,क्या यह भी संभव है। ,23,20,3
3318,It is likely to move in a westward direction. ,इसके दक्षिण दिशा में आगे बढ़ने की संभावना है। ,46,46,0
3321,"""Their future is in utter darkness. ",उनका भविष्य अंधकार से भरा होता है। ,36,35,1
3331,It has great capacity. ,उसमें काफी क्षमता है. ,23,22,1
3335,What is politics? ,नीति क्या है. ,18,14,4
3342,I miss the family. ,परिवार को चलाया। ,19,17,2
3345,"""There was drought in Gujarat. ",गुजरात में रेगिस्तान था। ,31,25,6
3346,Put ghee in the pan and heat it. ,पैन को गैस पर रखकर गर्म करें। ,33,30,3
3347,India imports so much of electrical goods. ,"भारत, चीन से मशीनरी का काफी अधिक आयात करता है। ",43,47,-4
3353,Why the ban? ,नाकेबंदी क्यों? ,13,16,-3
3358,"""The police who arrested four people. ",चार लोगों को गिरफ्तार किया गया है। ,38,35,3
3360,Which will be very fruitful. ,जो की काफी फलदायी होगा। ,29,24,5
3366,His political journey started then. ,जिसके बाद उनके सियासी सफर की शुरुआत हुई. ,36,41,-5
3367,"For me, the stigma is personal. ","मेरे लिए, कलंक व्यक्तिगत है। ",32,29,3
3369,Senior district officials also reached the spot. ,घटनास्थल पर जिले के आला अफसर भी पहुंच रहे हैं. ,49,47,2
3378,Several other PUDA officials were also present. ,इसके अलावा डीडीसीए के कई पदाधिकारी भी मौजूद रहे। ,48,49,-1
3379,How the testing is done ,कैसे निर्धारित होता है टेस्ट ,24,29,-5
3385,Thank you people of Latur for this faith & trust. ,लातूर की जनता का इस भरोसे के लिए धन्यवाद। ,50,42,8
3386,Try to maintain peace in your family. ,परिवार में सामंजस्य बिठाने की कोशिश करें. ,38,42,-4
3388,Help on this application ,इस अनुप्रयोग पर मदद ,25,20,5
3389,"""The cleaner came into the synagogue. ",सफाई कर्मचारी पूजा स्थल में आया. ,38,33,5
3390,Log in to your Twitter account. ,आप अपने ट्विटर अकाउंट में लॉगिन करें। ,32,38,-6
3400,Lockdown has not yielded results: Rahul Gandhi ,लॉकडाउन से कोई नतीजा नहीं निकला: राहुल गांधी ,47,45,2
3408,How delighted we were to receive it! ,इस नयी किताब को पाकर हम फूले न समाए थे! ,37,40,-3
3410,[ Box / Picture on page 5] ,[ पेज 5 पर बक्स / तसवीर] ,27,25,2
3415,Can you teach me how to steal? ,क्या तुम मुझे चोरी करना सिखा सकते हो? ,31,38,-7
3416,It also has Wi-Fi. ,इसमे वाईफाई लगा है। ,19,20,-1
3423,Vegetables anything you choose ,सब्ज़ियां- जो भी आपको पसंद हों लें ,31,35,-4
3425,Ill make my own destiny. ,मैं अपना भाग्य खुद बनाउंगी। ,25,28,-3
3431,List of enclosures ,ंलग्नकों की सूची ,19,17,2
3441,Sexual immorality is death dealing! ,लैंगिक अनैतिकता घातक होती है! ,36,30,6
3467,"""The guests awarded the winners. ",विजेताओं को अतिथियों ने सम्मानित किया। ,33,39,-6
3469,Director: Vikram Bhatt ,निर्देशक : विजय भट्ट ,23,21,2
3470,"April 28, 2008 May 4, 2008 ","28 अप्रैल, 2008 – 4 मई, 2008 ",27,29,-2
3479,Principal District Judge/Principal Judges ,प्रधान जिला न्यायाधीश / प्रधान न्यायाधीश ,42,41,1
3480,Computer teachers end protest ,मांगों को लेकर प्राध्यापकों का धरना ,30,36,-6
3484,"""The other accused will also be arrested soon. ",अन्य आरोपितों को भी जल्द गिरफ्तार कि या जाएगा। ,47,47,0
3489,"""The condition of two persons is serious. ","""वहां पर दो लोगों की हालत गंभीर बनी है। ",42,40,2
3492,Drunk son kills father ,शराब पीकर बाप को बेटे ने पीटा ,23,30,-7
3501,(With inputs from news agencies) ,(समाचार एजेंसियों से इनपुट के साथ) ,33,35,-2
3506,"Bank of India, Central ","केंद्रीय बैंक, फंड ",23,19,4
3507,He is currently admitted in a hospital. ,जिसे फिलहाल अस्पताल में ही रखा गया है. ,40,39,1
3517,"""The same old story was repeated. ","""वही पुरानी कहानियां दोहराई जा रही हैं। ",34,40,-6
3521,Color of neutral cubes. ,न्यूट्रल घन के लिए रंग ,24,23,1
3523,"""There are two changes in the Indian team. ",इंग्लैड की टीम में दो बदलाव हुए हैं। ,43,37,6
3526,"Meaning of resisted as far as blood , 2 / 15 ","प्राचीन संसार का नाश हुआ (जलप्रलय), 3 / 1 ",45,42,3
3537,2 cinnamon sticks ,2 चुटकी हींग ,18,13,5
3539,Deepika Padukone shared this photo. ,दीपिका पादुकोण ने शेयर की फोटो ,36,31,5
3544,Purchase of residential flats in Lucknow ,लखनऊ में आवासीय फ्लैटों की खरीद ,41,32,9
3549,It was originally the manuscript room. ,इसका पहिला मुख्य दफ्तर पलासियो दे सांता करूस था। ,39,49,-10
3555,Have some respect for your education. ,कुछ तो अपनी शिक्षा की कद्र कीजिए। ,38,34,4
3560,Congress is in power at present in Punjab. ,पंजाब में कांग्रेस प्रभावशाली स्थिति में है। ,43,45,-2
3564,Billy Murali paid me ,बिली मुरली मुझे भुगतान ,21,23,-2
3568,He stressed upon the need for girls' education. ,उन्होंने बेटियों की शिक्षा पर जोर दिया। ,48,40,8
3573,"""The film is directed by Akshat Verma. ",फ़िल्म का निर्देशनअमित वी मासूरकर ने किया था। ,39,46,-7
3581,"that He is the Lord of Sirius, ",और ये कि वही योअराए का मालिक है ,31,32,-1
3584,For dull skin ,बेदाग त्वचा के लिए ,14,19,-5
3585,A car later rammed into the trucks. ,वाहन फिर पीछे से एक ट्रक में घुस गया। ,36,38,-2
3588,Also the farmers do not get any benefit from it. ,साथ ही इससे किसानों को एक पैसा भी नहीं मिलेगा. ,49,47,2
3590,this is too easy as well as difficult ,यह ‎अत्यंत आसान है और यह बहुत कठिन भी है। ,38,42,-4
3598,Take them out of the syrup and serve hot. ,इन्हें तेल से निकाल कर गर्मागर्म परोसें। ,42,41,1
3602,No talking with other inmates. ,अन्य कैदियों से बात नहीं करते। ,31,31,0
3607,BA (Hons) Social Work- 70% ,बीए (ऑनर्स) सोशल वर्क- 70% ,27,27,0
3612,Planned to go abroad ,विदेश में बसने की थी योजना ,21,27,-6
3616,"But no, indeed, you shall soon know. ",देखो तुमको अनक़रीब ही मालुम हो जाएगा ,37,37,0
3620,I did ask him about it. ,मैंने भी पूछ ही लिया। ,24,22,2
3623,He was smiling. ,"""वह हो-हो कर हंसा। ",16,19,-3
3626,"""The change must come from society. ",बदलाव समाज में आना चाहिए. ,36,26,10
3634,He brought the cash to his vehicle. ,यह नगदी उसने अपनी कार में रख ली। ,36,33,3
3641,We have forgotten to issue notice. ,"पीठ ने कहा, ‘‘हम नोटिस जारी करना भूल गये थे। ",35,45,-10
3642,But thats how the game is. ,लेकिन खेल की दुनिया ही ऐसी है. ,27,31,-4
3649,"""The programme was pre-set. ",यह कार्यक्रम पहले ही तय हो गया था. ,28,35,-7
3651,"New Delhi/Mumbai, Jan 29 ","मंडी डबवाली, 29 जनवरी (निस) ",25,28,-3
3652,During this ,इस दौरान यहा… ,12,14,-2
3656,"Now we are doing it, he had said. ",उन्होंने कहा कि चलिए अभी करते हैं। ,34,35,-1
3657,Additional PM Kisan helpline number: 0120-6025109 ,पीएम किसान की एक और हेल्पलाइन है: 0120-6025109 ,50,47,3
3670,BJP behemoth ,बीजेपी का मेनिफेस्टो ,13,21,-8
3679,Thats the question. ,यही सवाल पूछते हैं। ,20,20,0
3680,Red hot priority demand ,अति अग्रता माँग ,24,16,8
3692,He has been buried in Yerwada jail. ,उसे येरवड़ा जेल में फांसी हुई थी। ,36,34,2
3711,We were very happy with the response we got. ,जो रेस्पॉन्स मिला उससे हम सब खुश हैं। ,45,38,7
3713,Many people were reportedly injured. ,कई लोगों के घायल होने की सूचना भी मिल रही है। ,37,46,-9
3727,He was born in 1920. ,"""वह १९२० मे जन्म हुआ। ",21,22,-1
3728,I have never quit the job. ,मैंने कभी काम करना बंद नहीं किया है। ,27,37,-10
3738,He is completely all in. ,"""वह पूरी तरह से तंदरूस्त हैं। ",25,30,-5
3746,This is your responsibility. ,इस की ज़िम्मेदारी आप की है। ,29,27,2
3756,Directory to remove from configuration file ,डिरेक्ट्री जिसे कॉन्फ़िगरेशन फ़ाइल से मिटाना है ,44,48,-4
3759,Step 2: Click on the results section. ,स्टेप 2- रिजल्ट लिंक के सेक्शन पर क्लिक करें. ,38,46,-8
3767,Ex-Army official killed in land feud ,सीढिय़ों से गिरने के चलते पूर्व सैनिक की मौत ,37,44,-7
3769,My family is extremely happy. ,मेरी फैमिली बेहद कंज़र्वेटिव है। ,30,33,-3
3783,Unsupported clipboard format. ,असमर्थित क्लिपबोर्ड प्रारूप। ,30,29,1
3785,Id seen this with my own eyes. ,मैंने अपनी आँखों से देखा है। ,31,29,2
3792,He has not talked to anyone about it. ,अभी तक इस बाबत किसी से बात नहीं की है. ,38,39,-1
3808,Police is currently probing the case. ,फिलहाल पुलिस मामले की तलाश कर रही है। ,38,38,0
3814,Congress has also backed the move. ,इस बंद का कांग्रेस ने भी समर्थन किया। ,35,38,-3
3816,This is also Naturally. ,यह स्वाभाविक भी है। ,24,20,4
3818,Recoverable payment ,वसूली योग्य अदायगियां ,20,22,-2
3822,she 's got seven kids. ,और उस के सात बच्चे हैं। ,23,24,-1
3823,"""They said her health condition is deteriorating. ",बताया जा रहा है कि उनकी तबीयत और खराब हो गई है। ,50,48,2
3824,Ish Sodhi (Base price Rs 50 lakh) ,ईश सोढ़ी (बेस प्राइस 50 लाख रुपये) ,34,35,-1
3839,No tension. ,नो टेंशन । ,12,11,1
3846,move over ,स्थान बदल ,10,10,0
3853,ready-made ,तैयार ,11,6,5
3856,S. Yadav Vs ,जेएस यादव बनाम ,12,15,-3
3858,Photo- ANI ,फोटो- एएनआई ,11,12,-1
3860,Technology Development for Indian Languages ,भारतीय भाषाओं के लिए प्रौद्योगिकी विकास ,44,40,4
3864,All this discussion is absurd. ,इस तरह की सारी चर्चा बेबुनियाद है। ,31,35,-4
3869,"""The solution to the problem? ",इसका सर्वोत्तम समाधान क्या है? ,30,31,-1
3876,"""The Orissa High Court ",उड़ीसा उच्च न्यायालय ,23,21,2
3879,"""The BJP, however, disagrees. ",हालांकि बीजेपी इसपर राजी नहीं है. ,30,34,-4
3886,So science was born. ,विज्ञान का जन्म हो गया। ,21,24,-3
3889,One arrested with 2-kg opium ,2 किलो अफीम के साथ एक काबू ,29,27,2
3893,"It is based in Manhattan, New York City. ","इसका मुख्यालय मैनहैटन, न्यू यॉर्क शहर में है। ",41,46,-5
3906,One suspect has been arrested in the case. ,मामले में एक आरोपी की गिरफ्तारी हो चुकी है. ,43,44,-1
3909,SC to hear plea for CBI probe in Batchas death ,बाशा की मौत के मामले में हो सीबीआई जांच : स्वामी ,47,49,-2
3913,"we 've taken millions of breaths, collectively, ","हमने सम्मिलित होकर लाखों श्वास लीं हैं, ",48,40,8
3915,Preparation for this has started. ,इसके लिए तैयारी शुरू की। ,34,25,9
3921,We have to be united to face them. ,इनका सामना करने के लिए हमें एकजुट होना होगा। ,35,45,-10
3922,Chapter 6: Where Are the Dead? ,अध्याय 6: मरे हुए कहाँ हैं? ,31,28,3
3923,Availability of Fertilizers in Domestic Market ,घरेलू बाजार में उर्वरकों की उपलब्‍धता ,47,38,9
3943,8 times 3 is 24 plus 4 is 28. ,8 गुना 3 है 24 जमा 4 है 28. ,30,28,2
3944,Aurangabad train incident ,घटना औरंगाबाद के अंकोरा रेलवे ,26,30,-4
3956,"But its not only him, its the team. ",सिर्फ उन्‍हें ही नहीं बल्कि पूरी टीम को। ,36,41,-5
3968,"so serve you God, and obey you me. ",अतः अल्लाह का डर रखो और मेरा कहा मानो ,35,38,-3
3984,BJP leader Shahnawaz Hussain ,भाजपा नेता सैयद शाहनवाज हुसैन। ,29,31,-2
3987,This release issued at 1835 hrs ,यह विज्ञप्ति 1835 बजे जारी की गई। ,32,34,-2
3990,Laws are changing. ,कानून बदले जाते हैं। ,19,21,-2
3994,New Zealand vs Australia ,बनाम न्यूज़ीलैंड (अाकलैंड) ,25,26,-1
3997,We have no intention to do that. ,हमारा ऐसा इरादा नहीं है। ,33,25,8
4003,Woman arrested for beating husband ,सास की पिटाई करने के आरोप में महिला गिरफ्तार ,35,45,-10
4012,"""The film is also available on Netflix. ",ये फिल्म नेटफ्लिक्स पर भी उपलब्ध है. ,40,37,3
4014,This time we are together. ,इस बार हम मुक़ाबले में हैं. ,27,27,0
4016,"""They won't even get the opportunity to hit back. ",उन्हें अजस्ट करने का भी मौका नहीं मिल पाता है। ,50,47,3
4020,Dont die ,मरा तो नहीं। ,9,13,-4
4021,Charles was married to Catherine De Berganza. ,चार्ल्स का विवाह कैथरीन डे बर्गैन्ज़ा से हुआ था। ,46,49,-3
4022,He is a pious devotee of Sri Ranganatha. ,वे श्री रंगनाथ के धर्मात्मा भक्त हैं। ,41,38,3
4025,Police were informed about the incident. ,इस घटना की सूचना थाने में दी गई। ,41,33,8
4031,Continue with this process. ,यह प्रक्रिया लगातार करते रहें। ,28,31,-3
4033,A good day for married couple. ,नवविवाहित जोड़ों के लिए दिन अच्छा है। ,31,38,-7
4039,"And, Bond, you have to find L'Americain. ","और बॉन्ड, तुम्हें लमेरिकेन को ढूँढ़ना होगा। ",41,44,-3
4040,Why is this door open? ,यह दरवाजा खुला क्यों है? ,23,25,-2
4042,can 't read from file descriptor% d ,फ़ाइल विवरणकर्ता% d से पढ़ा नहीं जा सकता है ,36,44,-8
4046,Woman commits suicide with 3 children ,3 बच्चों समेत महिला ने की खुदकुशी ,38,34,4
4054,Also read: How will a BSP-SP alliance shape up? ,यह भी पढ़ें: सपा-बसपा की राह हुई अलग? ,48,38,10
4057,I'm sure he won't be too angry at me. ,मुझे यकीन है कि वह मुझसे नाराज नहीं होगा। ,38,42,-4
4064,Turn it on. ,इसको आप ऑन कर दें। ,12,19,-7
4069,That is why he made that statement. ,यही वजह है कि उन्होंने खुद ही बयान दे डाला. ,36,44,-8
4081,"Ekta Kapoor, producer ",एकता कपूर हैं इसकी प्रोड्यूसर ,22,30,-8
4085,"It happened here, too. ","""वह यहां भी हुआ। ",23,17,6
